,timestamp(s),position_lat(semicircles),position_long(semicircles),gps_accuracy(m),altitude(m),grade(%),distance(m),cadence(rpm),speed(m/s),left_right_balance,temperature(C),watts,acceleration,position_lat(degrees),position_long(degrees),distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
15,18-05-2019 10.51,611269991,-3902123,3,98,0,119.34,0,5.702,0,20,0,-0.344,51.23605876,-0.327072171,117.8704123,3.116275235,50,60,70,80,90,100,110,120,4.19,3.116275235,5.920582121,3.274974933,-1.42E-14,-1.180385517
16,18-05-2019 10.51,611270327,-3902003,3,98,0,124.56,0,5.341,0,20,0,-0.361,51.23608693,-0.327062113,121.0793553,3.208942988,50,60,70,80,90,100,110,120,5.22,3.208942988,9.189192922,3.472644817,1.03,0.092667753
17,18-05-2019 10.51,611270774,-3901938,3,98,0,131.33,0,4.319,0,19,0,-1.022,51.23612439,-0.327056665,125.262739,4.183383788,50,60,70,80,90,100,110,120,6.77,4.183383788,15.45659049,5.901899114,1.55,0.9744408
18,18-05-2019 10.51,611271212,-3901874,3,98,0,133.98,4,3.874,0,19,0,-0.445,51.23616111,-0.327051301,129.3620573,4.099318299,50,60,70,80,90,100,110,120,2.65,4.099318299,2.368253083,5.667083945,-4.12,-0.08406549
19,18-05-2019 10.51,611271693,-3901790,3,98,0,138.4,15,3.751,0,19,0,-0.123,51.23620142,-0.32704426,133.8718172,4.509759898,50,60,70,80,90,100,110,120,4.42,4.509759898,6.588414314,6.858722062,1.77,0.410441599
20,18-05-2019 10.51,611272314,-3901734,3,98,0,143.4,33,4.072,0,19,0,0.321,51.23625347,-0.327039566,139.6689112,5.79709397,50,60,70,80,90,100,110,120,5,5.79709397,8.43094725,11.33331719,0.58,1.287334072
21,18-05-2019 10.51,611272947,-3901615,3,98,0,147.69,44,4.709,0,19,0,0.637,51.23630653,-0.327029591,145.6093581,5.940446921,50,60,70,80,90,100,110,120,4.29,5.940446921,6.206559851,11.90075742,-0.71,0.143352951
22,18-05-2019 10.51,611273592,-3901420,3,98,0,153.93,49,5.707,0,19,0,0.998,51.23636059,-0.327013247,151.7276703,6.118312151,50,60,70,80,90,100,110,120,6.24,6.118312151,13.13123407,12.6240767,1.95,0.17786523
23,18-05-2019 10.51,611274306,-3901040,3,98,0,159.86,52,6.123,0,19,0,0.416,51.23642044,-0.326981395,158.7420652,7.014394885,50,60,70,80,90,100,110,120,5.93,7.014394885,11.85893668,16.5926895,-0.31,0.896082734
24,18-05-2019 10.51,611275083,-3900512,3,98,0,166.69,54,6.554,0,19,0,0.431,51.23648557,-0.326937139,166.6121075,7.870042343,50,60,70,80,90,100,110,120,6.83,7.870042343,15.73177661,20.88769423,0.9,0.855647458
25,18-05-2019 10.51,611275867,-3899929,3,98,0,174.52,54,7.201,0,19,0,0.647,51.23655128,-0.326888273,174.6723513,8.060243781,50,60,70,80,90,100,110,120,7.83,8.060243781,20.67568407,21.90951267,1,0.190201439
26,18-05-2019 10.51,611276644,-3899265,3,98,0,181.37,55,7.677,0,19,0,0.476,51.23661641,-0.326832617,182.8856245,8.213273247,50,60,70,80,90,100,110,120,6.85,8.213273247,15.82404489,22.7493455,-0.98,0.153029465
27,18-05-2019 10.51,611277300,-3898440,3,98,0,188.86,55,7.884,0,19,0,0.207,51.2366714,-0.326763466,190.667595,7.781970419,50,60,70,80,90,100,110,120,7.49,7.781970419,18.91907935,20.42281083,0.64,-0.431302828
28,18-05-2019 10.51,611277946,-3897502,3,98,0,196.19,55,8.068,0,19,0,0.184,51.23672554,-0.326684844,198.8046646,8.137069648,50,60,70,80,90,100,110,120,7.33,8.137069648,18.11942087,22.32916228,-0.16,0.355099229
29,18-05-2019 10.51,611278740,-3896607,3,98,0,205.81,56,8.255,0,19,0,0.187,51.2367921,-0.326609826,207.8623111,9.057646479,50,60,70,80,90,100,110,120,9.62,9.057646479,31.20947819,27.66732016,2.29,0.920576831
30,18-05-2019 10.51,611279534,-3895715,3,98,0,213.71,57,8.536,0,19,0,0.281,51.23685865,-0.326535059,216.9098702,9.047559142,50,60,70,80,90,100,110,120,7.9,9.047559142,21.04701671,27.60572928,-1.72,-0.010087337
31,18-05-2019 10.51,611279976,-3895181,3,98,0,223.88,59,8.88,0,19,0,0.344,51.2368957,-0.3264903,222.0752257,5.165355456,50,60,70,80,90,100,110,120,10.17,5.165355456,34.880144,8.997809404,2.27,-3.882203686
32,18-05-2019 10.51,611280037,-3895059,3,98,0,233.42,60,8.974,0,19,0,0.094,51.23690081,-0.326480074,222.9863049,0.911079185,50,60,70,80,90,100,110,120,9.54,0.911079185,30.69255995,0.279929464,-0.63,-4.254276271
33,18-05-2019 10.51,611280098,-3894937,3,98,0,242.97,61,9.068,0,19,0,0.094,51.23690592,-0.326469848,223.897384,0.911079123,50,60,70,80,90,100,110,120,9.55,0.911079123,30.75693866,0.279929426,0.01,-6.14E-08
34,18-05-2019 10.51,611280159,-3894815,3,98,0,252.51,63,9.161,0,19,0,0.093,51.23691103,-0.326459622,224.808463,0.911079061,50,60,70,80,90,100,110,120,9.54,0.911079061,30.69255995,0.279929388,-0.01,-6.23E-08
35,18-05-2019 10.51,611280220,-3894693,3,98,0,262.06,64,9.255,0,19,0,0.094,51.23691615,-0.326449396,225.719542,0.911079,50,60,70,80,90,100,110,120,9.55,0.911079,30.75693866,0.27992935,0.01,-6.14E-08
36,18-05-2019 10.51,611280281,-3894571,3,98,0,271.6,67,9.349,0,19,0,0.094,51.23692126,-0.32643917,226.630621,0.911078938,50,60,70,80,90,100,110,120,9.54,0.911078938,30.69255995,0.279929312,-0.01,-6.18E-08
37,18-05-2019 10.51,611280342,-3894449,3,98,0,281.15,69,9.443,0,19,0,0.094,51.23692637,-0.326428944,227.5416999,0.911078876,50,60,70,80,90,100,110,120,9.55,0.911078876,30.75693866,0.279929274,0.01,-6.23E-08
38,18-05-2019 10.51,611280403,-3894327,3,98,0,290.69,72,9.537,0,19,0,0.094,51.23693149,-0.326418718,228.4527787,0.911078814,50,60,70,80,90,100,110,120,9.54,0.911078814,30.69255995,0.279929236,-0.01,-6.14E-08
39,18-05-2019 10.51,611280464,-3894205,3,98,0,300.24,74,9.631,0,19,0,0.094,51.2369366,-0.326408492,229.3638574,0.911078753,50,60,70,80,90,100,110,120,9.55,0.911078753,30.75693866,0.279929198,0.01,-6.18E-08
40,18-05-2019 10.51,611280525,-3894083,3,98,0,309.78,74,9.725,0,19,0,0.094,51.23694171,-0.326398266,230.2749361,0.91107869,50,60,70,80,90,100,110,120,9.54,0.91107869,30.69255995,0.27992916,-0.01,-6.23E-08
41,18-05-2019 10.51,611283325,-3889124,3,98,0,320.3,75,9.904,0,19,0,0.179,51.23717641,-0.325982608,269.2420092,38.96707304,50,60,70,80,90,100,110,120,10.52,38.96707304,37.32225218,512.0730673,0.98,38.05599435
42,18-05-2019 10.51,611287775,-3881133,3,98,0,328.77,75,9.591,0,19,0,-0.313,51.2375494,-0.32531281,331.6485888,62.40657962,50,60,70,80,90,100,110,120,8.47,62.40657962,24.19374974,1313.40034,-2.05,23.43950658
43,18-05-2019 10.51,611288432,-3879818,3,98,0,339.31,76,9.412,0,19,0,-0.179,51.23760447,-0.325202588,341.4658317,9.817242921,50,60,70,80,90,100,110,120,10.54,9.817242921,37.46429678,32.50240056,2.07,-52.5893367
44,18-05-2019 10.51,611289158,-3878467,3,98,0,349.84,76,9.616,0,19,3,0.204,51.23766532,-0.325089348,351.8550407,10.38920901,50,60,70,80,90,100,110,120,10.53,10.38920901,37.39324076,36.39999556,-0.01,0.571966092
45,18-05-2019 10.51,611289920,-3877202,3,98,0,360.38,75,9.902,0,19,11,0.286,51.23772919,-0.324983317,362.098484,10.2434433,50,60,70,80,90,100,110,120,10.54,10.2434433,37.46429678,35.38574135,0.01,-0.145765717
46,18-05-2019 10.51,611290749,-3876084,3,98,0,370.21,74,10.082,0,19,19,0.18,51.23779868,-0.324889608,372.2108365,10.11235252,50,60,70,80,90,100,110,120,9.83,10.11235252,32.58692635,34.48583655,-0.71,-0.131090771
47,18-05-2019 10.51,611291564,-3875008,3,98,0,379.31,74,10.104,0,19,26,0.022,51.23786699,-0.324799418,382.0659113,9.855074793,50,60,70,80,90,100,110,120,9.1,9.855074793,27.92666967,32.75338669,-0.73,-0.257277732
48,18-05-2019 10.51,611292300,-3873981,2,98,0,389.84,73,9.472,0,19,25,-0.632,51.23792868,-0.324713336,391.1746888,9.108777481,50,60,70,80,90,100,110,120,10.53,9.108777481,37.39324076,27.98056946,1.43,-0.746297312
49,18-05-2019 10.51,611292970,-3873009,2,98,0,398.28,73,9.003,0,19,18,-0.469,51.23798484,-0.324631864,399.610631,8.435942227,50,60,70,80,90,100,110,120,8.44,8.435942227,24.02266896,23.99957534,-2.09,-0.672835254
50,18-05-2019 10.51,611293621,-3872157,2,98,0,406.72,72,8.487,0,19,11,-0.516,51.23803941,-0.32456045,407.4548508,7.844219743,50,60,70,80,90,100,110,120,8.44,7.844219743,24.02266896,20.75084879,5.68E-14,-0.591722485
51,18-05-2019 10.51,611294138,-3871450,2,98,0,414.51,72,7.83,0,19,4,-0.657,51.23808274,-0.32450119,413.7982497,6.343398963,50,60,70,80,90,100,110,120,7.79,6.343398963,20.46497784,13.57001779,-0.65,-1.500820779
52,18-05-2019 10.51,611294545,-3870955,2,98,0,422.89,0,6.497,0,19,0,-1.333,51.23811685,-0.3244597,418.5661265,4.76787671,50,60,70,80,90,100,110,120,8.38,4.76787671,23.68232848,7.666310355,0.59,-1.575522253
53,18-05-2019 10.51,611294879,-3870624,2,98,0,428.57,0,5.475,0,19,0,-1.022,51.23814485,-0.324431956,422.2296134,3.663486956,50,60,70,80,90,100,110,120,5.68,3.663486956,10.8801037,4.526115813,-2.7,-1.104389755
54,18-05-2019 10.51,611295120,-3870380,3,98,0,432.08,0,4.816,0,19,0,-0.659,51.23816505,-0.324411504,424.8890396,2.659426186,50,60,70,80,90,100,110,120,3.51,2.659426186,4.154804529,2.385131042,-2.17,-1.00406077
55,18-05-2019 10.51,611295338,-3870192,3,98,0,434.94,2,4.373,0,19,0,-0.443,51.23818332,-0.324395746,427.1980968,2.309057201,50,60,70,80,90,100,110,120,2.86,2.309057201,2.758471045,1.798066487,-0.65,-0.350368985
56,18-05-2019 10.51,611295567,-3870047,3,98,0,439.93,5,4.031,0,19,52,-0.342,51.23820252,-0.324383592,429.4940288,2.295931982,50,60,70,80,90,100,110,120,4.99,2.295931982,8.397257185,1.777683327,2.13,-0.013125219
57,18-05-2019 10.51,611295843,-3870041,3,98,0,444.96,9,3.469,0,19,80,-0.562,51.23822565,-0.324383089,432.0666563,2.57262755,50,60,70,80,90,100,110,120,5.03,2.57262755,8.532422131,2.23197947,0.04,0.276695568
58,18-05-2019 10.51,611296171,-3870213,3,98,0,448.13,18,3.527,0,19,99,0.058,51.23825314,-0.324397506,435.2842407,3.217584401,50,60,70,80,90,100,110,120,3.17,3.217584401,3.388869833,3.491373079,-1.86,0.644956851
59,18-05-2019 10.52,611296599,-3870499,3,98,0,451.83,26,3.916,0,19,116,0.389,51.23828902,-0.324421478,439.6083391,4.324098331,50,60,70,80,90,100,110,120,3.7,4.324098331,4.616786714,6.305615514,0.53,1.10651393
60,18-05-2019 10.52,611297153,-3870915,3,98,0,456.06,29,4.605,0,19,128,0.689,51.23833545,-0.324456347,445.313904,5.705564941,50,60,70,80,90,100,110,120,4.23,5.705564941,6.034163842,10.97826397,0.53,1.38146661
61,18-05-2019 10.52,611298017,-3871750,4,98,0,461.55,31,4.887,0,19,134,0.282,51.23840787,-0.324526336,454.7259415,9.412037459,50,60,70,80,90,100,110,120,5.49,9.412037459,10.16438373,29.87470719,1.26,3.706472518
62,18-05-2019 10.52,611298761,-3872483,6,98,0,467.38,33,5.175,0,19,133,0.288,51.23847024,-0.324587775,462.8732539,8.14731248,50,60,70,80,90,100,110,120,5.83,8.14731248,11.46234492,22.38541295,0.34,-1.264724979
63,18-05-2019 10.52,611298983,-3872727,6,98,0,473.48,36,5.577,0,19,131,0.402,51.23848884,-0.324608227,465.3848967,2.511642754,50,60,70,80,90,100,110,120,6.1,2.511642754,12.54862189,2.127414416,0.27,-5.635669725
64,18-05-2019 10.52,611299204,-3872970,6,98,0,479.57,38,5.98,0,19,129,0.403,51.23850737,-0.324628595,467.8855533,2.500656575,50,60,70,80,90,100,110,120,6.09,2.500656575,12.50751259,2.108844068,-0.01,-0.010986179
65,18-05-2019 10.52,611299425,-3873213,5,98,0,485.67,45,6.382,0,19,128,0.402,51.23852589,-0.324648963,470.3862095,2.500656251,50,60,70,80,90,100,110,120,6.1,2.500656251,12.54862189,2.108843522,0.01,-3.24E-07
66,18-05-2019 10.52,611299646,-3873456,5,98,0,491.77,50,6.785,0,19,126,0.403,51.23854442,-0.324669331,472.8868655,2.500655927,50,60,70,80,90,100,110,120,6.1,2.500655927,12.54862189,2.108842976,-5.68E-14,-3.24E-07
67,18-05-2019 10.52,611301677,-3875288,4,98,0,498.11,52,6.867,0,18,131,0.082,51.23871465,-0.324822888,494.6262654,21.73939999,50,60,70,80,90,100,110,120,6.34,21.73939999,13.55547933,159.3791367,0.24,19.23874407
68,18-05-2019 10.52,611302316,-3875583,4,98,0,506.49,53,7,0,18,126,0.133,51.23876821,-0.324847614,500.8256854,6.199419967,50,60,70,80,90,100,110,120,8.38,6.199419967,23.68232848,12.96099905,2.04,-15.53998003
69,18-05-2019 10.52,611303038,-3875876,4,98,0,512.87,53,7.157,0,18,116,0.157,51.23882873,-0.324872173,507.7687053,6.94301984,50,60,70,80,90,100,110,120,6.38,6.94301984,13.72706597,16.25672937,-2,0.743599872
70,18-05-2019 10.52,611303787,-3876275,3,98,0,523.36,54,7.333,0,18,114,0.176,51.23889151,-0.324905617,515.127591,7.358885792,50,60,70,80,90,100,110,120,10.49,7.358885792,37.10969114,18.26251094,4.11,0.415865952
71,18-05-2019 10.52,611304551,-3876705,3,98,0,529.21,54,7.384,0,18,116,0.051,51.23895555,-0.324941659,522.6774032,7.549812173,50,60,70,80,90,100,110,120,5.85,7.549812173,11.54112369,19.22244637,-4.64,0.190926381
72,18-05-2019 10.52,611305295,-3877102,3,98,0,536.1,54,7.238,0,18,116,-0.146,51.23901791,-0.324974936,529.9883882,7.310984977,50,60,70,80,90,100,110,120,6.89,7.310984977,16.00939084,18.02553429,1.04,-0.238827196
73,18-05-2019 10.52,611306018,-3877456,3,98,0,544.09,54,7.113,0,18,109,-0.125,51.23907851,-0.325004607,537.0364254,7.048037178,50,60,70,80,90,100,110,120,7.99,7.048037178,21.52930062,16.7522342,1.1,-0.262947799
74,18-05-2019 10.52,611306804,-3877837,3,98,0,550.89,54,7.182,0,18,109,0.069,51.23914439,-0.325036542,544.6920579,7.655632558,50,60,70,80,90,100,110,120,6.8,7.655632558,15.59388003,19.76507765,-1.19,0.60759538
75,18-05-2019 10.52,611307607,-3878193,3,98,0,557.7,54,7.172,0,18,108,-0.01,51.2392117,-0.325066382,552.4591608,7.767102837,50,60,70,80,90,100,110,120,6.81,7.767102837,15.63977811,20.34484914,0.01,0.111470279
76,18-05-2019 10.52,611308432,-3878580,3,98,0,565.7,54,7.28,0,18,108,0.108,51.23928085,-0.32509882,560.4731079,8.013947165,50,60,70,80,90,100,110,120,8,8.013947165,21.58322496,21.65854676,1.19,0.246844329
77,18-05-2019 10.52,611309262,-3878966,3,98,0,572.45,54,7.421,0,18,107,0.141,51.23935042,-0.325131174,568.5301446,8.057036633,50,60,70,80,90,100,110,120,6.75,8.057036633,15.36540136,21.89208068,-1.25,0.043089468
78,18-05-2019 10.52,611310103,-3879343,3,98,0,580.5,53,7.589,0,18,107,0.168,51.23942091,-0.325162774,576.6713187,8.141174149,50,60,70,80,90,100,110,120,8.05,8.141174149,21.85385837,22.35169451,1.3,0.084137516
79,18-05-2019 10.52,611310997,-3879740,3,98,0,588.95,55,7.699,0,18,104,0.11,51.23949585,-0.32519605,585.3196499,8.648331221,50,60,70,80,90,100,110,120,8.45,8.648331221,24.07962844,25.22324695,0.4,0.507157072
80,18-05-2019 10.52,611311934,-3880149,3,98,0,595.66,56,7.703,0,18,102,0.004,51.23957438,-0.325230332,594.3729497,9.053299725,50,60,70,80,90,100,110,120,6.71,9.053299725,15.18383248,27.6407715,-1.74,0.404968504
81,18-05-2019 10.52,611312864,-3880539,3,98,0,603.77,56,7.793,0,18,102,0.09,51.23965234,-0.325263022,603.334538,8.961588325,50,60,70,80,90,100,110,120,8.11,8.961588325,22.18084422,27.08359697,1.4,-0.0917114
82,18-05-2019 10.52,611313779,-3880899,3,98,0,612.23,57,7.932,0,18,104,0.139,51.23972903,-0.325293196,612.1174714,8.782933454,50,60,70,80,90,100,110,120,8.46,8.782933454,24.13665537,26.01450388,0.35,-0.17865487
83,18-05-2019 10.52,611314689,-3881232,2,98,0,620.69,57,8.123,0,18,106,0.191,51.23980531,-0.325321108,620.8186307,8.70115924,50,60,70,80,90,100,110,120,8.46,8.70115924,24.13665537,25.53233869,0,-0.081774215
84,18-05-2019 10.52,611315637,-3881551,2,98,0,629.14,58,8.191,0,18,107,0.068,51.23988477,-0.325347846,629.8481674,9.029536757,50,60,70,80,90,100,110,120,8.45,9.029536757,24.07962844,27.49585975,-0.01,0.328377517
85,18-05-2019 10.52,611316614,-3881825,2,98,0,637.63,59,8.253,0,18,109,0.062,51.23996666,-0.325370813,639.0933453,9.245177846,50,60,70,80,90,100,110,120,8.49,9.245177846,24.30814083,28.82483987,0.04,0.21564109
86,18-05-2019 10.52,611317558,-3882045,2,98,0,645.32,60,8.279,0,18,111,0.026,51.24004578,-0.325389253,647.9848179,8.891472657,50,60,70,80,90,100,110,120,7.69,8.891472657,19.94293359,26.66144956,-0.8,-0.353705189
87,18-05-2019 10.52,611318496,-3882245,2,98,0,652.57,62,8.261,0,18,111,-0.018,51.2401244,-0.325406017,656.80476,8.81994209,50,60,70,80,90,100,110,120,7.25,8.81994209,17.72606659,26.23420034,-0.44,-0.071530567
88,18-05-2019 10.52,611319434,-3882435,2,98,0,660.92,64,8.146,0,18,101,-0.115,51.24020303,-0.325421942,665.6171711,8.812411083,50,60,70,80,90,100,110,120,8.35,8.812411083,23.51306879,26.18941873,1.1,-0.007531006
89,18-05-2019 10.52,611320290,-3882695,2,98,0,671.47,64,8.244,0,18,91,0.098,51.24027478,-0.325443735,673.738269,8.121097895,50,60,70,80,90,100,110,120,10.55,8.121097895,37.53542025,22.24159123,2.2,-0.691313188
90,18-05-2019 10.52,611321015,-3883020,2,98,0,679.94,65,8.347,0,18,44,0.103,51.24033554,-0.325470977,680.7565123,7.018243334,50,60,70,80,90,100,110,120,8.47,7.018243334,24.19374974,16.61090166,-2.08,-1.102854561
91,18-05-2019 10.52,611321709,-3883282,2,98,0,686.45,63,8.236,0,18,35,-0.111,51.24039371,-0.325492937,687.402973,6.646460692,50,60,70,80,90,100,110,120,6.51,6.646460692,14.2921755,14.89763209,-1.96,-0.371782642
92,18-05-2019 10.52,611322160,-3883427,2,98,0,693.74,66,7.662,0,18,28,-0.574,51.24043152,-0.325505091,691.6907101,4.287737051,50,60,70,80,90,100,110,120,7.29,4.287737051,17.92220415,6.200013734,0.78,-2.358723641
93,18-05-2019 10.52,611322287,-3883471,2,98,0,699.86,69,6.86,0,18,20,-0.802,51.24044216,-0.325508779,692.9019054,1.211195296,50,60,70,80,90,100,110,120,6.12,1.211195296,12.63104283,0.494725977,-1.17,-3.076541755
94,18-05-2019 10.52,611322413,-3883516,2,98,0,705.97,72,6.058,0,18,13,-0.802,51.24045272,-0.325512551,694.1052536,1.203348172,50,60,70,80,90,100,110,120,6.11,1.203348172,12.58979863,0.488336255,-0.01,-0.007847124
95,18-05-2019 10.52,611322539,-3883561,2,98,0,712.09,75,5.256,0,18,6,-0.802,51.24046328,-0.325516323,695.3086017,1.203348159,50,60,70,80,90,100,110,120,6.12,1.203348159,12.63104283,0.488336244,0.01,-1.32E-08
96,18-05-2019 10.52,611322665,-3883606,2,98,0,718.2,0,4.453,0,18,0,-0.803,51.24047385,-0.325520094,696.5119499,1.203348145,50,60,70,80,90,100,110,120,6.11,1.203348145,12.58979863,0.488336233,-0.01,-1.38E-08
97,18-05-2019 10.52,611324194,-3884331,2,98,0,718.33,1,4.437,1,18,0,-0.016,51.24060201,-0.325580863,711.3772543,14.8653044,50,60,70,80,90,100,110,120,0.13,14.8653044,0.00569932,74.52190995,-5.98,13.66195626
98,18-05-2019 10.52,611324223,-3884481,2,98,0,723.03,4,3.924,3,18,0,-0.513,51.24060444,-0.325593436,712.2932817,0.916027406,50,60,70,80,90,100,110,120,4.7,0.916027406,7.44958499,0.282978407,4.57,-13.949277
99,18-05-2019 10.52,611324172,-3884604,2,98,0,724.62,7,3.75,5,18,1,-0.174,51.24060016,-0.325603746,713.154115,0.860833309,50,60,70,80,90,100,110,120,1.59,0.860833309,0.85257111,0.249904738,-3.11,-0.055194098
100,18-05-2019 10.52,611324150,-3884659,2,98,0,724.62,10,3.704,8,18,0,-0.046,51.24059832,-0.325608356,713.5349496,0.38083459,50,60,70,80,90,100,110,120,0,0.38083459,0,0.048911292,-1.59,-0.479998718
101,18-05-2019 10.52,611324150,-3884659,1,98,0,724.62,0,0,5,18,0,-0.2315,51.24059832,-0.325608356,713.5349496,0,50,60,70,80,90,100,110,120,0,0,0,0,0,-0.023802162
102,18-05-2019 10.52,611324205,-3884699,1,98,0,724.62,0,0,3,18,0,0,51.24060293,-0.325611709,714.098197,0.563247425,50,60,70,80,90,100,110,120,0,0.563247425,0,0.106987932,0,0.563247425
103,18-05-2019 10.52,611324606,-3884905,1,97.8,0,724.62,0,0,2,18,0,0,51.24063654,-0.325628975,718.0241515,3.925954477,50,60,70,80,90,100,110,120,0,3.925954477,0,5.197887581,0,3.362707053
104,18-05-2019 10.53,611325008,-3884993,1,97.8,0,724.62,0,0,0,18,0,0,51.24067023,-0.325636351,721.8059136,3.781762127,50,60,70,80,90,100,110,120,0,3.781762127,0,4.823083491,0,-0.14419235
105,18-05-2019 10.53,611325522,-3885121,1,97.8,0,812.74,1,4.325,0,18,0,4.325,51.24071332,-0.32564708,726.6543932,4.848479586,50,60,70,80,90,100,110,120,88.12,4.848479586,2618.697541,7.927705459,88.12,1.066717459
106,18-05-2019 10.53,611326105,-3885251,1,97.6,0,817.58,1,4.288,0,18,0,-0.037,51.24076218,-0.325657977,732.1407901,5.486396913,50,60,70,80,90,100,110,120,4.84,5.486396913,7.899999916,10.15104634,-83.28,0.637917326
107,18-05-2019 10.53,611326494,-3885329,1,97.6,-0.08,821.99,2,4.627,0,18,0,0.339,51.24079479,-0.325664515,735.7948224,3.654032301,50,60,70,80,90,100,110,120,4.41,3.654032301,6.558636209,4.50278414,-0.43,-1.832364612
108,18-05-2019 10.53,611326619,-3885359,1,97.6,-0.16,827.08,2,5.037,0,18,0,0.41,51.24080527,-0.325667029,736.972931,1.178108615,50,60,70,80,90,100,110,120,5.09,1.178108615,8.737192978,0.468065926,0.68,-2.475923687
109,18-05-2019 10.53,611326745,-3885390,1,97.6,-0.16,832.52,3,5.415,0,18,0,0.378,51.24081583,-0.325669628,738.1611315,1.188200471,50,60,70,80,90,100,110,120,5.44,1.188200471,9.980083222,0.476119319,0.35,0.010091856
